,zipcode,primary_city,acceptable_cities,unacceptable_cities,county,latitude,longitude
16607,37886,walland,,,blount,35.72,-83.81
16608,37887,wartburg,,,morgan,36.1,-84.58
16609,37888,washburn,,,grainger,36.31,-83.59
16610,37890,white_pine,Baneberry,,jefferson,36.09,-83.29
16611,37891,whitesburg,,,hamblen,36.29,-83.13
16612,37892,winfield,,,scott,36.56,-84.45
16613,37901,knoxville,,Knox,knox,35.97,-83.94
16614,37902,knoxville,,,knox,35.96,-83.92
16615,37909,knoxville,,,knox,35.95,-84.02
16616,37912,knoxville,,,knox,36.01,-83.98
16617,37914,knoxville,,,knox,35.98,-83.8
16618,37915,knoxville,,,knox,35.97,-83.9
16619,37916,knoxville,,,knox,35.95,-83.93
16620,37917,knoxville,,,knox,36.0,-83.91
16621,37918,knoxville,,,knox,36.06,-83.92
16622,37919,knoxville,,,knox,35.91,-84.0
16623,37920,knoxville,"Kimberlin Heights, Kimberlin Hgt",,knox,35.91,-83.87
16624,37921,knoxville,Karns,,knox,35.97,-83.94
16625,37922,knoxville,"Concord, Concord Farr, Concord Farragut",Farragut,knox,35.86,-84.1
16626,37923,knoxville,,,knox,35.93,-84.08
16627,37924,knoxville,,,knox,36.03,-83.8
16628,37927,knoxville,,,knox,35.97,-83.94
16629,37928,knoxville,,,knox,35.97,-83.94
16630,37929,knoxville,,Plaza Tower,knox,35.97,-83.94
16631,37930,knoxville,,,knox,35.97,-83.94
16632,37931,knoxville,,,knox,35.98,-84.13
16633,37932,knoxville,,,knox,35.92,-84.2
16634,37933,knoxville,Farragut,Concord Farragut,knox,35.97,-83.94
